Crop, Rainfall, Temperature, pH 
Bajra,235.5,26.43,6.2
Barley,345.2,25.7,6.2
Bean,155.8,27.35,6.2
Blackgram,155.8,27.35,6.2
Bottle Gourd,155.8,27.35,6.2
Brinjal,235.5,26.43,6.2
Castor seed,669.9,24.97,6.2
Chillies,235.5,26.43,6.2
Coriander,235.5,26.43,6.2
Cowpea,484.0,25.24,6.2
Ginger,890.8,24.4,6.2
Grapes,345.2,25.7,6.2
Groundnut,235.5,26.43,6.2
Guar seed,235.5,26.43,6.2
Jowar,235.5,26.43,6.2
Khesari,345.2,25.7,6.2
Lady Finger,155.8,27.35,6.2
Lentil,235.5,26.43,6.2
Linseed,484.0,25.24,6.2
Maize,669.9,24.97,6.2
Moong(Green Gram),155.8,27.35,6.2
Orange,345.2,25.7,6.2
Papaya,931.0,23.87,6.2
Potato,235.5,26.43,6.2
Raddish,155.8,27.35,6.2
Ragi,345.2,25.7,6.2
Sannhamp,484.0,25.24,6.2
Sesamum,345.2,25.7,6.2
Sugarcane,931.0,23.87,6.2
Sunflower,345.2,25.7,6.2
Sweet potato,484.0,25.24,6.2
Tapioca,484.0,25.24,6.2
Urad,235.5,26.43,6.2
Varagu,345.2,25.7,6.2
Wheat,235.5,26.43,6.2
